Date,MSFT,MMM,INTC
20/09/2012,26.547443,78.229881,18.702976
21/09/2012,26.327978,77.920601,18.662636
24/09/2012,25.981894,78.35527,18.396372
25/09/2012,25.652683,77.602905,18.18659
26/09/2012,25.466976,77.40226,18.275343
27/09/2012,25.458532,77.594543,18.630362
28/09/2012,25.120886,77.260155,18.283415
1/10/2012,24.892981,77.987457,18.364092
2/10/2012,25.036482,78.196442,18.428648
3/10/2012,25.205303,78.397095,18.194654
4/10/2012,25.348803,78.940468,18.130106
5/10/2012,25.196863,79.383514,18.299547
8/10/2012,25.13777,79.72628,18.16238
9/10/2012,24.715719,78.53083,17.670198
10/10/2012,24.462481,77.979118,17.557238
11/10/2012,24.437155,77.602905,17.492689
12/10/2012,24.648188,77.536011,17.331316
15/10/2012,24.909864,77.569458,17.533035
16/10/2012,24.892981,78.773254,18.033287
17/10/2012,24.97739,79.258125,17.581448
18/10/2012,24.901419,79.199623,17.484623
19/10/2012,24.17548,77.694878,17.161877
22/10/2012,23.635246,77.352119,17.315182
23/10/2012,23.677454,74.175438,17.420074
24/10/2012,23.550831,73.891212,17.315182
25/10/2012,23.533955,73.406357,17.500753
26/10/2012,23.812511,73.590271,17.710545
31/10/2012,24.091064,73.230804,17.452349
1/11/2012,24.918303,74.610146,17.960669
2/11/2012,24.901419,74.376076,17.799297
5/11/2012,25.01115,74.902725,17.803373
6/11/2012,25.205303,75.956047,17.713699
7/11/2012,24.546892,74.718811,17.045261
8/11/2012,24.318985,74.024971,16.980047
9/11/2012,24.335867,74.242317,16.955593
12/11/2012,23.82095,74.551628,16.931135
13/11/2012,23.055004,74.468056,16.531698
14/11/2012,22.842236,72.988396,16.270847
15/11/2012,22.689053,73.581886,16.327909
16/11/2012,22.569904,73.98317,16.45834
19/11/2012,22.748627,74.877655,16.507246
20/11/2012,22.731602,74.911324,15.904017
21/11/2012,22.935856,74.843987,15.781743
23/11/2012,23.574144,75.971611,16.075203
26/11/2012,23.310316,75.811722,16.213787
27/11/2012,23.046494,75.996872,16.246391
28/11/2012,23.28479,76.518585,16.37682
29/11/2012,22.935856,76.282951,15.920325
30/11/2012,22.655014,76.535408,15.952929
3/12/2012,22.493311,75.988449,15.928475
4/12/2012,22.442249,75.836983,16.278999
5/12/2012,22.697561,76.375542,16.181171
6/12/2012,22.748627,76.535408,16.43388
7/12/2012,22.518839,77.006668,16.43388
10/12/2012,22.927343,77.309624,16.368668
11/12/2012,23.250746,78.832741,16.833317
12/12/2012,23.182661,78.361519,16.849619
13/12/2012,23.072025,77.83976,16.702885
14/12/2012,22.816711,77.65464,16.735498
17/12/2012,23.063515,78.285759,16.768103
18/12/2012,23.454998,78.9758,17.086021
19/12/2012,23.242231,78.277367,17.200142
20/12/2012,23.557125,79.211441,17.14308
21/12/2012,23.361383,78.344673,16.931135
24/12/2012,23.029474,78.420425,16.825163
26/12/2012,22.859259,78.319443,16.833317
27/12/2012,22.944363,77.957588,16.719189
28/12/2012,22.595436,77.233879,16.49094
31/12/2012,22.731602,78.134308,16.808863
2/01/2013,23.506062,79.758415,17.428391
3/01/2013,23.19117,79.665848,17.37948
4/01/2013,22.757137,80.254913,17.249054
7/01/2013,22.714586,80.355881,17.32242
8/01/2013,22.595436,80.364304,17.191992
9/01/2013,22.723091,81.130081,17.485455
10/01/2013,22.518839,81.533989,17.770761
11/01/2013,22.833727,81.020676,17.9338
14/01/2013,22.884794,81.693871,17.9338
15/01/2013,23.157133,81.870605,17.835978
16/01/2013,23.012445,82.131462,18.023466
17/01/2013,23.19117,82.5354,18.488115
18/01/2013,23.19117,83.090797,17.32242
22/01/2013,23.106068,83.587296,17.257208
23/01/2013,23.497553,83.721947,17.208298
24/01/2013,23.514566,83.873398,17.077868
25/01/2013,23.727333,84.647583,17.086021
28/01/2013,23.752867,84.698097,17.159386
29/01/2013,23.837973,85.674248,17.346876
30/01/2013,23.701803,84.824318,17.420238
31/01/2013,23.361383,84.613937,17.151237
1/02/2013,23.769892,85.463844,17.412085
4/02/2013,23.352871,84.799065,17.249054
5/02/2013,23.40394,85.404968,17.450918
6/02/2013,23.267767,86.414787,17.294371
7/02/2013,23.216702,86.019257,17.146057
8/02/2013,23.446489,86.389534,17.30261
11/02/2013,23.710316,86.355858,17.327324
12/02/2013,23.727333,87.062737,17.459156
13/02/2013,23.854996,87.092369,17.508596
14/02/2013,23.863506,87.024635,17.492123
15/02/2013,23.837973,87.405663,17.401484
19/02/2013,24.069658,88.210022,17.376764
20/02/2013,23.915203,87.337906,17.080147
21/02/2013,23.589127,86.973824,16.684662
22/02/2013,23.820812,87.668114,16.82473
25/02/2013,23.486153,86.152512,16.668175
26/02/2013,23.486153,86.626686,16.95656
27/02/2013,23.863714,87.693527,17.244932
28/02/2013,23.855135,88.057602,17.203737
1/03/2013,23.983852,87.862862,17.327324
4/03/2013,24.155468,87.447975,17.52507
5/03/2013,24.327089,88.438637,17.722815
6/03/2013,24.103985,88.616455,17.920563
7/03/2013,24.146887,88.514839,18.035912
8/03/2013,24.026758,89.50547,17.780493
11/03/2013,23.915203,89.590164,17.871122
12/03/2013,23.949524,89.014389,17.829924
13/03/2013,23.958107,88.980522,17.846407
14/03/2013,24.146887,89.767944,17.838165
15/03/2013,24.061085,90.089714,17.615702
18/03/2013,24.112564,89.25148,17.516832
19/03/2013,24.181211,89.056732,17.417959
20/03/2013,24.301346,89.463173,17.450918
21/03/2013,24.121149,88.853516,17.335571
22/03/2013,24.24128,90.106644,17.574507
25/03/2013,24.164049,89.048271,17.426195
26/03/2013,24.164049,89.810295,17.937038
27/03/2013,24.34425,89.149857,17.986475
28/03/2013,24.550192,90.013504,17.994717
1/04/2013,24.550192,89.454674,17.6569
2/04/2013,24.71323,90.191322,17.681616
3/04/2013,24.507286,89.480087,17.343805
4/04/2013,24.541615,89.598633,17.417959
5/04/2013,24.627424,89.564766,17.253172
8/04/2013,24.533031,89.53936,17.376764
9/04/2013,25.408297,89.708687,17.920563
10/04/2013,25.983221,91.181961,18.340767
11/04/2013,24.833364,91.656128,17.986475
12/04/2013,24.704655,91.173492,17.862886
15/04/2013,24.618839,89.547813,17.615702
